2026-04-26-07-29: epoch: 1 |loss 0.252719 | LProb 0.051383 | LRC 0.799928 | LFunc 0.281118 | time 5.683333 | loss 0.199342 | LProb 0.043351 | LRC 0.745578 | LFunc 0.160211 | time 0.550000 | ACC 0.811250 | 
2026-04-26-07-35: epoch: 2 |loss 0.197731 | LProb 0.047656 | LRC 0.758607 | LFunc 0.142404 | time 5.600000 | loss 0.190304 | LProb 0.037810 | LRC 0.730759 | LFunc 0.148816 | time 0.500000 | ACC 0.816875 | 
2026-04-26-07-41: epoch: 3 |loss 0.188745 | LProb 0.045238 | LRC 0.725211 | LFunc 0.135772 | time 5.566667 | loss 0.181274 | LProb 0.034748 | LRC 0.690367 | LFunc 0.146516 | time 0.500000 | ACC 0.831250 | 
2026-04-26-07-47: epoch: 4 |loss 0.182153 | LProb 0.043908 | LRC 0.692924 | LFunc 0.134134 | time 5.583333 | loss 0.174330 | LProb 0.032969 | LRC 0.657219 | LFunc 0.144928 | time 0.500000 | ACC 0.820625 | 
2026-04-26-07-53: epoch: 5 |loss 0.172015 | LProb 0.046278 | LRC 0.656695 | LFunc 0.118281 | time 5.583333 | loss 0.161162 | LProb 0.036585 | LRC 0.621929 | LFunc 0.117644 | time 0.500000 | ACC 0.814375 | 
2026-04-26-07-59: epoch: 6 |loss 0.160248 | LProb 0.047420 | LRC 0.617625 | LFunc 0.100801 | time 5.566667 | loss 0.150937 | LProb 0.037206 | LRC 0.580750 | LFunc 0.106626 | time 0.500000 | ACC 0.833750 | 
2026-04-26-08-05: epoch: 7 |loss 0.150933 | LProb 0.046261 | LRC 0.577129 | LFunc 0.094843 | time 5.600000 | loss 0.140766 | LProb 0.034904 | LRC 0.536844 | LFunc 0.101520 | time 0.500000 | ACC 0.810000 | 
2026-04-26-08-11: epoch: 8 |loss 0.141958 | LProb 0.046431 | LRC 0.532424 | LFunc 0.090016 | time 5.583333 | loss 0.128672 | LProb 0.030262 | LRC 0.487635 | LFunc 0.096806 | time 0.500000 | ACC 0.842500 | 
2026-04-26-08-18: epoch: 9 |loss 0.131127 | LProb 0.044712 | LRC 0.482666 | LFunc 0.084980 | time 5.583333 | loss 0.115998 | LProb 0.029592 | LRC 0.436783 | LFunc 0.085214 | time 0.483333 | ACC 0.861875 | 
2026-04-26-08-24: epoch: 10 |loss 0.119916 | LProb 0.043072 | LRC 0.436870 | LFunc 0.076705 | time 5.600000 | loss 0.104993 | LProb 0.028298 | LRC 0.387577 | LFunc 0.078744 | time 0.500000 | ACC 0.902500 | 
2026-04-26-08-30: epoch: 11 |loss 0.109580 | LProb 0.041754 | LRC 0.392543 | LFunc 0.069837 | time 5.583333 | loss 0.093385 | LProb 0.025455 | LRC 0.342090 | LFunc 0.070927 | time 0.500000 | ACC 0.890625 | 
2026-04-26-08-36: epoch: 12 |loss 0.100366 | LProb 0.040538 | LRC 0.348337 | LFunc 0.066122 | time 5.583333 | loss 0.086083 | LProb 0.026794 | LRC 0.299046 | LFunc 0.068537 | time 0.500000 | ACC 0.871250 | 
2026-04-26-08-42: epoch: 13 |loss 0.091843 | LProb 0.038930 | LRC 0.306524 | LFunc 0.063871 | time 5.600000 | loss 0.079048 | LProb 0.026707 | LRC 0.260035 | LFunc 0.067066 | time 0.483333 | ACC 0.866875 | 
2026-04-26-08-48: epoch: 14 |loss 0.085485 | LProb 0.038339 | LRC 0.272411 | LFunc 0.062742 | time 5.616667 | loss 0.072344 | LProb 0.026001 | LRC 0.223459 | LFunc 0.066301 | time 0.500000 | ACC 0.870000 | 
2026-04-26-08-54: epoch: 15 |loss 0.079362 | LProb 0.037544 | LRC 0.240075 | LFunc 0.061733 | time 5.600000 | loss 0.066046 | LProb 0.024245 | LRC 0.192383 | LFunc 0.065578 | time 0.500000 | ACC 0.861250 | 
2026-04-26-09-00: epoch: 16 |loss 0.076037 | LProb 0.036878 | LRC 0.222550 | LFunc 0.061518 | time 5.633333 | loss 0.064416 | LProb 0.022124 | LRC 0.189424 | LFunc 0.065349 | time 0.500000 | ACC 0.881875 | 
2026-04-26-09-06: epoch: 17 |loss 0.075911 | LProb 0.036828 | LRC 0.222600 | LFunc 0.061191 | time 5.583333 | loss 0.063445 | LProb 0.021286 | LRC 0.186482 | LFunc 0.065164 | time 0.500000 | ACC 0.865625 | 
2026-04-26-09-13: epoch: 18 |loss 0.074860 | LProb 0.036827 | LRC 0.215731 | LFunc 0.061475 | time 5.583333 | loss 0.062347 | LProb 0.019933 | LRC 0.183994 | LFunc 0.065144 | time 0.500000 | ACC 0.870625 | 
2026-04-26-09-19: epoch: 19 |loss 0.074198 | LProb 0.036951 | LRC 0.211864 | LFunc 0.061237 | time 5.600000 | loss 0.062372 | LProb 0.021054 | LRC 0.181198 | LFunc 0.064938 | time 0.500000 | ACC 0.865625 | 
2026-04-26-09-25: epoch: 20 |loss 0.073662 | LProb 0.036845 | LRC 0.209622 | LFunc 0.060907 | time 5.583333 | loss 0.064286 | LProb 0.025569 | LRC 0.178907 | LFunc 0.065052 | time 0.500000 | ACC 0.866250 | 
