2026-04-26-10-57: epoch: 1 |loss 0.273173 | LProb 0.069506 | LRC 0.733459 | LFunc 0.348529 | time 4.083333 | loss 0.154073 | LProb 0.047429 | LRC 0.342587 | LFunc 0.219781 | time 0.383333 | ACC 0.786250 | 
2026-04-26-11-01: epoch: 2 |loss 0.204784 | LProb 0.064052 | LRC 0.697034 | LFunc 0.169756 | time 4.000000 | loss 1.228167 | LProb 0.043368 | LRC 6.912069 | LFunc 0.163414 | time 0.350000 | ACC 0.791875 | 
2026-04-26-11-05: epoch: 3 |loss 0.187694 | LProb 0.060017 | LRC 0.650982 | LFunc 0.147565 | time 4.000000 | loss 0.069915 | LProb 0.037502 | LRC 0.000008 | LFunc 0.153487 | time 0.350000 | ACC 0.818125 | 
2026-04-26-11-10: epoch: 4 |loss 0.174659 | LProb 0.056916 | LRC 0.596056 | LFunc 0.140574 | time 4.000000 | loss 0.068102 | LProb 0.036587 | LRC 0.000000 | LFunc 0.149424 | time 0.350000 | ACC 0.793750 | 
2026-04-26-11-14: epoch: 5 |loss 0.162277 | LProb 0.054197 | LRC 0.535457 | LFunc 0.137807 | time 4.000000 | loss 1.177856 | LProb 0.033438 | LRC 6.671750 | LFunc 0.147537 | time 0.350000 | ACC 0.805625 | 
2026-04-26-11-18: epoch: 6 |loss 0.150435 | LProb 0.052296 | LRC 0.474125 | LFunc 0.135798 | time 3.983333 | loss 0.886210 | LProb 0.033370 | LRC 4.924387 | LFunc 0.146382 | time 0.350000 | ACC 0.813125 | 
2026-04-26-11-23: epoch: 7 |loss 0.138846 | LProb 0.050659 | LRC 0.413511 | LFunc 0.133794 | time 4.000000 | loss 0.068982 | LProb 0.032483 | LRC 0.027920 | LFunc 0.144260 | time 0.350000 | ACC 0.796875 | 
2026-04-26-11-27: epoch: 8 |loss 0.128905 | LProb 0.050509 | LRC 0.357341 | LFunc 0.132281 | time 3.983333 | loss 0.121286 | LProb 0.028913 | LRC 0.355143 | LFunc 0.142917 | time 0.350000 | ACC 0.823125 | 
2026-04-26-11-31: epoch: 9 |loss 0.119510 | LProb 0.049405 | LRC 0.306369 | LFunc 0.131238 | time 3.983333 | loss 0.114960 | LProb 0.026177 | LRC 0.327365 | LFunc 0.141931 | time 0.350000 | ACC 0.805625 | 
2026-04-26-11-36: epoch: 10 |loss 0.111083 | LProb 0.048306 | LRC 0.261014 | LFunc 0.130284 | time 4.000000 | loss 0.240293 | LProb 0.028875 | LRC 1.072203 | LFunc 0.141465 | time 0.350000 | ACC 0.848125 | 
2026-04-26-11-40: epoch: 11 |loss 0.103888 | LProb 0.047383 | LRC 0.222166 | LFunc 0.129505 | time 3.983333 | loss 0.065237 | LProb 0.026957 | LRC 0.029251 | LFunc 0.140650 | time 0.350000 | ACC 0.852500 | 
2026-04-26-11-45: epoch: 12 |loss 0.097932 | LProb 0.046935 | LRC 0.189199 | LFunc 0.128794 | time 4.000000 | loss 0.061759 | LProb 0.031912 | LRC 0.000096 | LFunc 0.137361 | time 0.350000 | ACC 0.860000 | 
2026-04-26-11-49: epoch: 13 |loss 0.091372 | LProb 0.046869 | LRC 0.160545 | LFunc 0.123538 | time 4.000000 | loss 0.060775 | LProb 0.030493 | LRC 0.007860 | LFunc 0.132656 | time 0.350000 | ACC 0.881875 | 
2026-04-26-11-53: epoch: 14 |loss 0.086151 | LProb 0.046529 | LRC 0.137377 | LFunc 0.119971 | time 4.000000 | loss 0.148448 | LProb 0.033423 | LRC 0.531025 | LFunc 0.129697 | time 0.350000 | ACC 0.888125 | 
2026-04-26-11-58: epoch: 15 |loss 0.081913 | LProb 0.046156 | LRC 0.117358 | LFunc 0.117826 | time 4.000000 | loss 0.902951 | LProb 0.030082 | LRC 5.071030 | LFunc 0.128213 | time 0.350000 | ACC 0.886875 | 
2026-04-26-12-02: epoch: 16 |loss 0.079367 | LProb 0.045922 | LRC 0.107750 | LFunc 0.115343 | time 3.983333 | loss 0.081132 | LProb 0.031741 | LRC 0.139342 | LFunc 0.126114 | time 0.350000 | ACC 0.898125 | 
2026-04-26-12-06: epoch: 17 |loss 0.078683 | LProb 0.046264 | LRC 0.106440 | LFunc 0.113432 | time 3.983333 | loss 0.087150 | LProb 0.028602 | LRC 0.189912 | LFunc 0.123591 | time 0.350000 | ACC 0.880625 | 
2026-04-26-12-11: epoch: 18 |loss 0.076999 | LProb 0.047696 | LRC 0.104225 | LFunc 0.107342 | time 4.000000 | loss 0.069852 | LProb 0.030106 | LRC 0.110402 | LFunc 0.109197 | time 0.350000 | ACC 0.886875 | 
2026-04-26-12-15: epoch: 19 |loss 0.074829 | LProb 0.048740 | LRC 0.103053 | LFunc 0.099851 | time 4.000000 | loss 0.069588 | LProb 0.029409 | LRC 0.113649 | LFunc 0.107824 | time 0.350000 | ACC 0.888750 | 
2026-04-26-12-19: epoch: 20 |loss 0.073534 | LProb 0.048612 | LRC 0.100638 | LFunc 0.097364 | time 4.000000 | loss 0.076586 | LProb 0.033837 | LRC 0.146336 | LFunc 0.105836 | time 0.350000 | ACC 0.875000 | 
