2026-04-26-07-35: epoch: 1 |loss 0.349417 | LProb 0.349417 | LRC 0.783844 | LFunc 0.578215 | time 8.250000 | loss 0.185357 | LProb 0.185357 | LRC 0.757067 | LFunc 0.598067 | time 0.750000 | ACC 0.760000 | 
2026-04-26-07-43: epoch: 2 |loss 0.201179 | LProb 0.201179 | LRC 0.783208 | LFunc 0.576646 | time 8.116667 | loss 0.083734 | LProb 0.083734 | LRC 0.776205 | LFunc 0.604751 | time 0.700000 | ACC 0.731875 | 
2026-04-26-07-52: epoch: 3 |loss 0.155455 | LProb 0.155455 | LRC 0.780904 | LFunc 0.586024 | time 8.133333 | loss 0.073954 | LProb 0.073954 | LRC 0.779301 | LFunc 0.611687 | time 0.716667 | ACC 0.761875 | 
2026-04-26-08-01: epoch: 4 |loss 0.137369 | LProb 0.137369 | LRC 0.782686 | LFunc 0.592021 | time 8.166667 | loss 0.061286 | LProb 0.061286 | LRC 0.784989 | LFunc 0.617175 | time 0.716667 | ACC 0.732500 | 
2026-04-26-08-10: epoch: 5 |loss 0.125114 | LProb 0.125114 | LRC 0.777483 | LFunc 0.598039 | time 8.133333 | loss 0.056865 | LProb 0.056865 | LRC 0.784489 | LFunc 0.623948 | time 0.716667 | ACC 0.750625 | 
2026-04-26-08-19: epoch: 6 |loss 0.115857 | LProb 0.115857 | LRC 0.782933 | LFunc 0.604224 | time 8.116667 | loss 0.058014 | LProb 0.058014 | LRC 0.767866 | LFunc 0.630780 | time 0.716667 | ACC 0.756875 | 
2026-04-26-08-28: epoch: 7 |loss 0.108474 | LProb 0.108474 | LRC 0.782366 | LFunc 0.605570 | time 8.166667 | loss 0.058321 | LProb 0.058321 | LRC 0.742571 | LFunc 0.630128 | time 0.716667 | ACC 0.732500 | 
2026-04-26-08-37: epoch: 8 |loss 0.102583 | LProb 0.102583 | LRC 0.783436 | LFunc 0.605687 | time 8.100000 | loss 0.055683 | LProb 0.055683 | LRC 0.775280 | LFunc 0.631232 | time 0.700000 | ACC 0.753125 | 
2026-04-26-08-45: epoch: 9 |loss 0.096874 | LProb 0.096874 | LRC 0.783050 | LFunc 0.610011 | time 8.133333 | loss 0.044047 | LProb 0.044047 | LRC 0.764269 | LFunc 0.635236 | time 0.716667 | ACC 0.731875 | 
2026-04-26-08-54: epoch: 10 |loss 0.091298 | LProb 0.091298 | LRC 0.781215 | LFunc 0.615310 | time 8.150000 | loss 0.047785 | LProb 0.047785 | LRC 0.779548 | LFunc 0.634122 | time 0.733333 | ACC 0.763125 | 
2026-04-26-09-03: epoch: 11 |loss 0.086137 | LProb 0.086137 | LRC 0.780744 | LFunc 0.611609 | time 8.133333 | loss 0.044539 | LProb 0.044539 | LRC 0.741299 | LFunc 0.637207 | time 0.716667 | ACC 0.763750 | 
2026-04-26-09-12: epoch: 12 |loss 0.081577 | LProb 0.081577 | LRC 0.781909 | LFunc 0.611107 | time 8.166667 | loss 0.052143 | LProb 0.052143 | LRC 0.777344 | LFunc 0.636173 | time 0.716667 | ACC 0.745000 | 
2026-04-26-09-21: epoch: 13 |loss 0.077081 | LProb 0.077081 | LRC 0.781692 | LFunc 0.613297 | time 8.150000 | loss 0.049823 | LProb 0.049823 | LRC 0.758809 | LFunc 0.637985 | time 0.716667 | ACC 0.756250 | 
2026-04-26-09-30: epoch: 14 |loss 0.072966 | LProb 0.072966 | LRC 0.782296 | LFunc 0.616415 | time 8.116667 | loss 0.049024 | LProb 0.049024 | LRC 0.767890 | LFunc 0.639479 | time 0.700000 | ACC 0.725000 | 
2026-04-26-09-39: epoch: 15 |loss 0.069237 | LProb 0.069237 | LRC 0.783265 | LFunc 0.622096 | time 8.000000 | loss 0.045627 | LProb 0.045627 | LRC 0.750039 | LFunc 0.639304 | time 0.700000 | ACC 0.761250 | 
2026-04-26-09-47: epoch: 16 |loss 0.066963 | LProb 0.066963 | LRC 0.781379 | LFunc 0.613779 | time 7.983333 | loss 0.048319 | LProb 0.048319 | LRC 0.770037 | LFunc 0.638504 | time 0.700000 | ACC 0.766875 | 
2026-04-26-09-56: epoch: 17 |loss 0.066581 | LProb 0.066581 | LRC 0.779770 | LFunc 0.612822 | time 8.000000 | loss 0.044354 | LProb 0.044354 | LRC 0.751849 | LFunc 0.638911 | time 0.700000 | ACC 0.751250 | 
2026-04-26-10-05: epoch: 18 |loss 0.066399 | LProb 0.066399 | LRC 0.779873 | LFunc 0.615292 | time 7.983333 | loss 0.041954 | LProb 0.041954 | LRC 0.755269 | LFunc 0.639627 | time 0.700000 | ACC 0.733750 | 
2026-04-26-10-13: epoch: 19 |loss 0.066023 | LProb 0.066023 | LRC 0.781252 | LFunc 0.609904 | time 8.000000 | loss 0.041051 | LProb 0.041051 | LRC 0.778477 | LFunc 0.639928 | time 0.700000 | ACC 0.765625 | 
2026-04-26-10-22: epoch: 20 |loss 0.065516 | LProb 0.065516 | LRC 0.779573 | LFunc 0.618687 | time 8.000000 | loss 0.045943 | LProb 0.045943 | LRC 0.779179 | LFunc 0.639779 | time 0.700000 | ACC 0.753125 | 
